,Wavelength (nm),GE 200 W Clear,GE Wattmiser 52 W frosted,Spot 60 W,GE Reveal 3 Way
372,721,0.306708,0.0356085,0.0322174,0.0666049
373,722,0.307394,0.035713,0.0323167,0.0666117
374,723,0.308151,0.0358186,0.032411,0.0665755
375,724,0.30893,0.0359324,0.0324987,0.0664685
376,725,0.309677,0.0360561,0.0325828,0.0662642
377,726,0.310412,0.0361776,0.0326731,0.0659416
378,727,0.311116,0.0362911,0.0327647,0.0654584
379,728,0.311796,0.0363953,0.0328526,0.0647571
380,729,0.312486,0.0364909,0.0329305,0.0637616
381,730,0.313188,0.0366012,0.0330234,0.0623579
382,731,0.313922,0.0367221,0.0331207,0.0604182
383,732,0.314725,0.0368322,0.0332071,0.0578377
384,733,0.315413,0.0369424,0.0332864,0.0545637
385,734,0.31605,0.0370543,0.0333679,0.0507568
386,735,0.316726,0.0371636,0.0334531,0.0467121
387,736,0.317369,0.037262,0.0335344,0.0429232
388,737,0.318047,0.0373667,0.0336225,0.0399655
389,738,0.318788,0.0374864,0.0337124,0.0380735
390,739,0.319505,0.0376034,0.033787,0.0371973
391,740,0.320184,0.0377135,0.0338643,0.0368534
392,741,0.320835,0.0378147,0.0339515,0.0368283
393,742,0.321501,0.0379086,0.0340489,0.0370326
394,743,0.32219,0.0380138,0.0341305,0.0375962
395,744,0.322868,0.0381248,0.0342072,0.0382985
396,745,0.323501,0.0382288,0.0342889,0.038845
397,746,0.324185,0.0383434,0.0343695,0.0388149
398,747,0.324871,0.0384591,0.0344489,0.0383626
399,748,0.325506,0.0385651,0.0345272,0.0378075
400,749,0.326111,0.0386649,0.0346038,0.0376741
401,750,0.326732,0.0387688,0.0346839,0.0381812
402,751,0.327371,0.0388774,0.0347651,0.0392901
403,752,0.327934,0.0389741,0.0348426,0.0408016
404,753,0.328536,0.0390755,0.0349237,0.0425158
405,754,0.329162,0.0391806,0.0350028,0.0443501
406,755,0.329726,0.0392785,0.0350761,0.0462681
407,756,0.33035,0.039374,0.0351524,0.0482925
408,757,0.331004,0.0394733,0.0352255,0.0503826
409,758,0.331643,0.039581,0.035297,0.052484
410,759,0.332266,0.0396789,0.0353769,0.0545269
411,760,0.332879,0.039777,0.0354611,0.0564464
412,761,0.333487,0.0398812,0.0355428,0.0582078
413,762,0.334118,0.0399886,0.035614,0.0598051
414,763,0.334744,0.0400859,0.0356802,0.0613059
415,764,0.335331,0.0401746,0.0357451,0.0627474
416,765,0.335839,0.0402686,0.0358117,0.064154
417,766,0.33632,0.0403624,0.0358811,0.0655293
418,767,0.336822,0.040457,0.0359489,0.0668491
419,768,0.337388,0.0405552,0.0360173,0.0680964
420,769,0.337944,0.040652,0.0360966,0.0692581
421,770,0.338495,0.0407425,0.0361677,0.0702906
422,771,0.339049,0.0408276,0.0362324,0.0711768
423,772,0.339609,0.0409219,0.0363029,0.0719165
424,773,0.340178,0.0410236,0.0363643,0.072523
425,774,0.34074,0.041125,0.0364245,0.0730145
426,775,0.341258,0.041211,0.0364936,0.0734018
427,776,0.341772,0.0412943,0.0365728,0.0736712
428,777,0.342304,0.0413842,0.0366403,0.0737971
429,778,0.34286,0.0414855,0.0366932,0.073767
430,779,0.343343,0.0415709,0.0367623,0.0735883
431,780,0.343805,0.041658,0.0368324,0.0732694
432,781,0.344303,0.0417583,0.0368979,0.0728002
433,782,0.344834,0.0418476,0.0369577,0.0721638
434,783,0.345349,0.041933,0.0370286,0.0714064
435,784,0.34584,0.0420186,0.0370969,0.070509
436,785,0.346309,0.0421027,0.0371503,0.0694452
